barcode,first_type,second_type,celltype1,celltype2,x,y,prop1,prop2
embryo1_Pos5_cell3_z2,14,3,Forebrain-Midbrain-Hindbrain,Low-quality,-0.272252481,-2.416360745,1,0
embryo1_Pos5_cell3_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,-0.274646257,-2.377661339,1,0
embryo1_Pos5_cell300_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.168947443,-1.836064383,1,0
embryo1_Pos5_cell300_z5,14,3,Forebrain-Midbrain-Hindbrain,Low-quality,0.138080679,-2.043603821,1,0
embryo1_Pos5_cell301_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.173491457,-1.960917728,1,0
embryo1_Pos5_cell301_z5,14,3,Forebrain-Midbrain-Hindbrain,Low-quality,0.142285446,-1.902816587,1,0
embryo1_Pos5_cell302_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.188183041,-1.660489602,1,0
embryo1_Pos5_cell303_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.142317845,-1.966758783,1,0
embryo1_Pos5_cell305_z5,3,14,Low-quality,Forebrain-Midbrain-Hindbrain,0.139155872,-2.083026348,1,0
embryo1_Pos5_cell306_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.170002403,-1.787431057,1,0
embryo1_Pos5_cell307_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.186926537,-1.820912163,1,0
embryo1_Pos5_cell309_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.184341531,-1.626929007,1,0
embryo1_Pos5_cell309_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.152163838,-1.997920638,1,0
embryo1_Pos5_cell31_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,-0.259685723,-1.588556835,1,0
embryo1_Pos5_cell31_z5,14,3,Forebrain-Midbrain-Hindbrain,Low-quality,-0.262515291,-2.455820212,1,0
embryo1_Pos5_cell311_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.196173678,-1.58526273,1,0
embryo1_Pos5_cell311_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.161468101,-1.841702048,1,0
embryo1_Pos5_cell312_z2,14,3,Forebrain-Midbrain-Hindbrain,Low-quality,0.192649857,-1.895222394,1,0
embryo1_Pos5_cell312_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.155819199,-1.750048432,1,0
embryo1_Pos5_cell313_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.187063647,-1.760204907,1,0
embryo1_Pos5_cell313_z5,14,3,Forebrain-Midbrain-Hindbrain,Low-quality,0.169336214,-2.026751246,1,0
