barcode,first_type,second_type,celltype1,celltype2,x,y,prop1,prop2
embryo1_Pos0_cell10_z5,8,20,Lateral-plate-mesoderm,Intermediate-mesoderm,0.708436879,-2.707126306,1,0
embryo1_Pos0_cell100_z2,11,3,Erythroid,Low-quality,0.961726024,-2.943950815,1,0
embryo1_Pos0_cell102_z2,19,19,Gut-tube,Gut-tube,0.983053756,-3.284371749,1,0
embryo1_Pos0_cell102_z5,10,19,Endothelium,Gut-tube,0.993388387,-3.200490592,1,0
embryo1_Pos0_cell103_z5,8,13,Lateral-plate-mesoderm,Allantois,0.983855296,-2.634190352,1,0
embryo1_Pos0_cell105_z2,11,11,Erythroid,Erythroid,0.969061325,-2.829258952,1,0
embryo1_Pos0_cell105_z5,11,11,Erythroid,Erythroid,0.991782912,-2.966748661,1,0
embryo1_Pos0_cell106_z5,19,19,Gut-tube,Gut-tube,0.99566005,-3.284608479,1,0
embryo1_Pos0_cell107_z2,11,16,Erythroid,Haematoendothelial-progenitors,0.981132638,-2.795595943,1,0
embryo1_Pos0_cell108_z2,13,8,Allantois,Lateral-plate-mesoderm,0.969580774,-2.670442879,1,0
embryo1_Pos0_cell108_z5,11,11,Erythroid,Erythroid,1.004546671,-2.923275714,1,0
embryo1_Pos0_cell109_z5,11,11,Erythroid,Erythroid,1.009389976,-2.785366853,1,0
embryo1_Pos0_cell11_z2,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,0.710275509,-2.776251867,1,0
embryo1_Pos0_cell110_z2,19,10,Gut-tube,Endothelium,0.979306741,-3.178243491,1,0
embryo1_Pos0_cell111_z5,11,11,Erythroid,Erythroid,1.012736791,-2.851275029,1,0
embryo1_Pos0_cell112_z2,19,10,Gut-tube,Endothelium,0.997385473,-3.227258628,1,0
embryo1_Pos0_cell112_z5,11,11,Erythroid,Erythroid,1.022530425,-2.822405771,1,0
embryo1_Pos0_cell113_z5,19,19,Gut-tube,Gut-tube,1.015890051,-3.245992291,1,0
embryo1_Pos0_cell114_z2,11,11,Erythroid,Erythroid,0.996335703,-2.917587864,1,0
embryo1_Pos0_cell114_z5,3,19,Low-quality,Gut-tube,1.027715985,-3.159806862,1,0
embryo1_Pos0_cell119_z5,19,19,Gut-tube,Gut-tube,1.036349023,-3.294073646,1,0
embryo1_Pos0_cell12_z2,8,20,Lateral-plate-mesoderm,Intermediate-mesoderm,0.708627953,-2.712125136,1,0
embryo1_Pos0_cell120_z5,11,11,Erythroid,Erythroid,1.031694091,-2.888234558,1,0
embryo1_Pos0_cell121_z2,11,11,Erythroid,Erythroid,1.006785556,-2.854580318,1,0
embryo1_Pos0_cell123_z2,19,19,Gut-tube,Gut-tube,1.015203396,-3.261043909,1,0
embryo1_Pos0_cell125_z5,10,19,Endothelium,Gut-tube,1.053896674,-3.110513456,1,0
embryo1_Pos0_cell126_z5,19,19,Gut-tube,Gut-tube,1.049996176,-3.265070497,1,0
embryo1_Pos0_cell127_z5,19,16,Gut-tube,Haematoendothelial-progenitors,1.057202905,-3.192608338,1,0
embryo1_Pos0_cell128_z5,11,3,Erythroid,Low-quality,1.077920306,-2.902347565,1,0
embryo1_Pos0_cell129_z2,11,11,Erythroid,Erythroid,1.027505505,-2.888580786,1,0
embryo1_Pos0_cell129_z5,11,11,Erythroid,Erythroid,1.049583729,-2.787052969,1,0
embryo1_Pos0_cell13_z5,10,16,Endothelium,Haematoendothelial-progenitors,0.721289193,-2.580539002,1,0
embryo1_Pos0_cell130_z2,11,11,Erythroid,Erythroid,1.032692703,-2.928610143,1,0
embryo1_Pos0_cell130_z5,11,11,Erythroid,Erythroid,1.060726766,-2.833200949,1,0
embryo1_Pos0_cell131_z2,11,11,Erythroid,Erythroid,1.036597783,-2.829954594,1,0
embryo1_Pos0_cell131_z5,11,3,Erythroid,Low-quality,1.051847014,-2.950901796,1,0
embryo1_Pos0_cell133_z2,11,11,Erythroid,Erythroid,1.046888144,-2.787550438,1,0
embryo1_Pos0_cell133_z5,19,19,Gut-tube,Gut-tube,1.07635934,-3.254054428,1,0
embryo1_Pos0_cell134_z5,19,3,Gut-tube,Low-quality,1.063589895,-3.142637949,1,0
embryo1_Pos0_cell135_z2,19,19,Gut-tube,Gut-tube,1.043625042,-3.270757467,1,0
embryo1_Pos0_cell135_z5,19,3,Gut-tube,Low-quality,1.078458992,-3.225408532,1,0
embryo1_Pos0_cell136_z5,13,21,Allantois,Mixed-mesenchymal-mesoderm,1.091184701,-2.588229131,1,0
embryo1_Pos0_cell137_z2,19,19,Gut-tube,Gut-tube,1.057403758,-3.31014422,1,0
embryo1_Pos0_cell137_z5,11,11,Erythroid,Erythroid,1.079609793,-2.772821349,1,0
embryo1_Pos0_cell138_z5,19,19,Gut-tube,Gut-tube,1.073970709,-3.288363167,1,0
embryo1_Pos0_cell139_z5,11,11,Erythroid,Erythroid,1.086757969,-2.860868427,1,0
embryo1_Pos0_cell140_z2,11,11,Erythroid,Erythroid,1.054111392,-2.868097437,1,0
embryo1_Pos0_cell140_z5,19,19,Gut-tube,Gut-tube,1.084167311,-3.3185301,1,0
embryo1_Pos0_cell141_z5,19,19,Gut-tube,Gut-tube,1.092693722,-3.145881471,1,0
embryo1_Pos0_cell142_z2,19,3,Gut-tube,Low-quality,1.04909517,-3.171733665,1,0
embryo1_Pos0_cell144_z5,11,10,Erythroid,Endothelium,1.097106157,-2.735118693,1,0
embryo1_Pos0_cell145_z2,19,3,Gut-tube,Low-quality,1.067841001,-3.243698182,1,0
embryo1_Pos0_cell146_z5,19,19,Gut-tube,Gut-tube,1.097635129,-3.200791034,1,0
embryo1_Pos0_cell147_z5,11,11,Erythroid,Erythroid,1.101432872,-2.821459865,1,0
embryo1_Pos0_cell149_z2,11,3,Erythroid,Low-quality,1.062130366,-2.905606011,1,0
embryo1_Pos0_cell149_z5,19,19,Gut-tube,Gut-tube,1.11148988,-3.307544386,1,0
embryo1_Pos0_cell15_z5,20,8,Intermediate-mesoderm,Lateral-plate-mesoderm,0.723827177,-2.716045987,1,0
embryo1_Pos0_cell151_z2,11,11,Erythroid,Erythroid,1.078294531,-2.81832111,1,0
embryo1_Pos0_cell151_z5,11,11,Erythroid,Erythroid,1.10705094,-2.784146355,1,0
embryo1_Pos0_cell152_z5,19,19,Gut-tube,Gut-tube,1.109298075,-3.279094361,1,0
embryo1_Pos0_cell153_z5,19,19,Gut-tube,Gut-tube,1.121755274,-3.245794732,1,0
embryo1_Pos0_cell154_z2,19,19,Gut-tube,Gut-tube,1.09154507,-3.335242586,1,0
embryo1_Pos0_cell154_z5,19,19,Gut-tube,Gut-tube,1.111687142,-3.178820915,1,0
embryo1_Pos0_cell155_z2,19,19,Gut-tube,Gut-tube,1.083743448,-3.16213575,1,0
embryo1_Pos0_cell156_z2,13,21,Allantois,Mixed-mesenchymal-mesoderm,1.088740301,-2.561568086,1,0
embryo1_Pos0_cell157_z2,19,19,Gut-tube,Gut-tube,1.079865789,-3.185582649,1,0
embryo1_Pos0_cell158_z2,3,11,Low-quality,Erythroid,1.091487096,-2.930256101,1,0
embryo1_Pos0_cell158_z5,19,10,Gut-tube,Endothelium,1.135564618,-3.130052186,1,0
embryo1_Pos0_cell159_z2,19,19,Gut-tube,Gut-tube,1.08895974,-3.278847637,1,0
embryo1_Pos0_cell16_z2,8,20,Lateral-plate-mesoderm,Intermediate-mesoderm,0.733329714,-2.697821601,1,0
embryo1_Pos0_cell160_z2,11,11,Erythroid,Erythroid,1.086807776,-2.856463418,1,0
embryo1_Pos0_cell160_z5,11,11,Erythroid,Erythroid,1.137973416,-2.874852377,1,0
embryo1_Pos0_cell161_z2,19,19,Gut-tube,Gut-tube,1.099108539,-3.22105586,1,0
embryo1_Pos0_cell162_z5,11,3,Erythroid,Low-quality,1.135468085,-2.925173908,1,0
embryo1_Pos0_cell163_z2,11,3,Erythroid,Low-quality,1.100601177,-2.892008287,1,0
embryo1_Pos0_cell163_z5,11,11,Erythroid,Erythroid,1.137657639,-2.835468383,1,0
embryo1_Pos0_cell164_z2,19,19,Gut-tube,Gut-tube,1.106267207,-3.141798426,1,0
embryo1_Pos0_cell164_z5,21,13,Mixed-mesenchymal-mesoderm,Allantois,1.133847842,-2.591803625,1,0
embryo1_Pos0_cell165_z5,11,11,Erythroid,Erythroid,1.136504727,-2.761256308,1,0
embryo1_Pos0_cell166_z5,19,19,Gut-tube,Gut-tube,1.145842607,-3.207461569,1,0
embryo1_Pos0_cell167_z2,11,11,Erythroid,Erythroid,1.113126353,-2.785924406,1,0
embryo1_Pos0_cell168_z5,11,11,Erythroid,Erythroid,1.148762502,-2.799942264,1,0
embryo1_Pos0_cell169_z5,19,19,Gut-tube,Gut-tube,1.137533749,-3.167803213,1,0
embryo1_Pos0_cell17_z2,11,3,Erythroid,Low-quality,0.742309023,-3.299157653,1,0
embryo1_Pos0_cell170_z2,19,19,Gut-tube,Gut-tube,1.127616914,-3.285201103,1,0
embryo1_Pos0_cell170_z5,19,19,Gut-tube,Gut-tube,1.144353308,-3.27454021,1,0
embryo1_Pos0_cell171_z2,19,19,Gut-tube,Gut-tube,1.119434705,-3.181425749,1,0
embryo1_Pos0_cell171_z5,19,19,Gut-tube,Gut-tube,1.154475977,-3.312995503,1,0
embryo1_Pos0_cell172_z2,19,19,Gut-tube,Gut-tube,1.116286665,-3.257332986,1,0
embryo1_Pos0_cell174_z2,21,13,Mixed-mesenchymal-mesoderm,Allantois,1.117287759,-2.530113289,1,0
embryo1_Pos0_cell175_z2,11,11,Erythroid,Erythroid,1.125760129,-2.863791142,1,0
embryo1_Pos0_cell176_z2,11,11,Erythroid,Erythroid,1.135896086,-2.83448765,1,0
embryo1_Pos0_cell176_z5,3,11,Low-quality,Erythroid,1.174633965,-2.904728533,1,0
embryo1_Pos0_cell177_z5,19,19,Gut-tube,Gut-tube,1.175215466,-3.251800838,1,0
embryo1_Pos0_cell18_z5,11,3,Erythroid,Low-quality,0.739670212,-3.302054337,1,0
embryo1_Pos0_cell180_z2,19,19,Gut-tube,Gut-tube,1.13336983,-3.348684648,1,0
embryo1_Pos0_cell181_z2,19,10,Gut-tube,Endothelium,1.148907216,-3.116571755,1,0
embryo1_Pos0_cell181_z5,19,19,Gut-tube,Gut-tube,1.193467418,-3.282182919,1,0
embryo1_Pos0_cell182_z5,16,19,Haematoendothelial-progenitors,Gut-tube,1.1994537,-3.215386212,1,0
embryo1_Pos0_cell183_z5,19,19,Gut-tube,Gut-tube,1.194662864,-3.314377931,1,0
embryo1_Pos0_cell184_z5,11,11,Erythroid,Erythroid,1.185221498,-2.657190373,1,0
embryo1_Pos0_cell186_z2,19,16,Gut-tube,Haematoendothelial-progenitors,1.150273665,-3.198026278,1,0
embryo1_Pos0_cell187_z2,19,19,Gut-tube,Gut-tube,1.149612668,-3.332077062,1,0
embryo1_Pos0_cell188_z2,19,16,Gut-tube,Haematoendothelial-progenitors,1.152950796,-3.229703488,1,0
embryo1_Pos0_cell189_z2,11,3,Erythroid,Low-quality,1.180115108,-2.705188787,1,0
embryo1_Pos0_cell189_z5,3,10,Low-quality,Endothelium,1.209033636,-2.943896196,1,0
embryo1_Pos0_cell19_z2,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,0.737016174,-2.770123162,1,0
embryo1_Pos0_cell19_z5,13,8,Allantois,Lateral-plate-mesoderm,0.743924969,-2.878847831,1,0
embryo1_Pos0_cell190_z2,11,3,Erythroid,Low-quality,1.155744554,-2.747214367,1,0
embryo1_Pos0_cell192_z2,3,10,Low-quality,Endothelium,1.15973673,-2.968914247,1,0
embryo1_Pos0_cell192_z5,19,19,Gut-tube,Gut-tube,1.223314112,-3.331173553,1,0
embryo1_Pos0_cell193_z2,19,10,Gut-tube,Endothelium,1.149933538,-3.148845338,1,0
embryo1_Pos0_cell195_z2,11,3,Erythroid,Low-quality,1.15880518,-2.799365904,1,0
embryo1_Pos0_cell195_z5,10,19,Endothelium,Gut-tube,1.233502796,-3.282191031,1,0
embryo1_Pos0_cell196_z2,19,19,Gut-tube,Gut-tube,1.154985046,-3.303524945,1,0
embryo1_Pos0_cell197_z2,10,3,Endothelium,Low-quality,1.167368504,-3.013529112,1,0
embryo1_Pos0_cell199_z2,19,19,Gut-tube,Gut-tube,1.165994504,-3.252789073,1,0
embryo1_Pos0_cell2_z2,3,11,Low-quality,Erythroid,0.717419699,-3.337924649,1,0
embryo1_Pos0_cell2_z5,11,3,Erythroid,Low-quality,0.712130483,-3.287892536,1,0
embryo1_Pos0_cell20_z5,8,20,Lateral-plate-mesoderm,Intermediate-mesoderm,0.741635432,-2.733009348,1,0
embryo1_Pos0_cell201_z2,19,19,Gut-tube,Gut-tube,1.165396608,-3.279776959,1,0
embryo1_Pos0_cell201_z5,3,19,Low-quality,Gut-tube,1.265575675,-2.742214521,1,0
embryo1_Pos0_cell203_z2,19,10,Gut-tube,Endothelium,1.17789374,-3.161736619,1,0
embryo1_Pos0_cell204_z2,19,19,Gut-tube,Gut-tube,1.186009248,-3.337452177,1,0
embryo1_Pos0_cell205_z5,10,8,Endothelium,Lateral-plate-mesoderm,1.273017239,-3.148854699,1,0
embryo1_Pos0_cell206_z2,11,11,Erythroid,Erythroid,1.187466278,-2.661897186,1,0
embryo1_Pos0_cell209_z2,19,10,Gut-tube,Endothelium,1.197023117,-3.133691883,1,0
embryo1_Pos0_cell211_z2,3,10,Low-quality,Endothelium,1.186381918,-3.033300173,1,0
embryo1_Pos0_cell212_z2,11,3,Erythroid,Low-quality,1.199223971,-2.774690355,1,0
embryo1_Pos0_cell212_z5,10,19,Endothelium,Gut-tube,1.295172135,-2.830029879,1,0
embryo1_Pos0_cell213_z2,19,19,Gut-tube,Gut-tube,1.194239083,-3.308675237,1,0
embryo1_Pos0_cell213_z5,10,19,Endothelium,Gut-tube,1.299604856,-2.702004437,1,0
embryo1_Pos0_cell215_z2,19,16,Gut-tube,Haematoendothelial-progenitors,1.192169946,-3.243403805,1,0
embryo1_Pos0_cell216_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.314133253,-3.190031678,1,0
embryo1_Pos0_cell217_z2,11,10,Erythroid,Endothelium,1.203502048,-2.631497957,1,0
embryo1_Pos0_cell218_z2,19,10,Gut-tube,Endothelium,1.19792994,-3.277511725,1,0
embryo1_Pos0_cell218_z5,8,10,Lateral-plate-mesoderm,Endothelium,1.329099273,-3.142527259,1,0
embryo1_Pos0_cell219_z2,10,3,Endothelium,Low-quality,1.204222754,-2.990600588,1,0
embryo1_Pos0_cell220_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.327361002,-3.25451013,1,0
embryo1_Pos0_cell223_z5,8,16,Lateral-plate-mesoderm,Haematoendothelial-progenitors,1.342046912,-3.359253539,1,0
embryo1_Pos0_cell224_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.323542824,-3.22696298,1,0
embryo1_Pos0_cell226_z2,19,10,Gut-tube,Endothelium,1.224997189,-3.360523107,1,0
embryo1_Pos0_cell228_z2,19,19,Gut-tube,Gut-tube,1.216898592,-3.329742464,1,0
embryo1_Pos0_cell229_z2,19,10,Gut-tube,Endothelium,1.22815881,-3.301367834,1,0
embryo1_Pos0_cell229_z5,19,10,Gut-tube,Endothelium,1.333500671,-2.68022108,1,0
embryo1_Pos0_cell230_z5,16,19,Haematoendothelial-progenitors,Gut-tube,1.368995806,-2.702761741,1,0
embryo1_Pos0_cell231_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.337691947,-3.287927461,1,0
embryo1_Pos0_cell233_z2,10,3,Endothelium,Low-quality,1.234618904,-2.950398671,1,0
embryo1_Pos0_cell233_z5,19,10,Gut-tube,Endothelium,1.366032703,-2.66117576,1,0
embryo1_Pos0_cell234_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.36373729,-3.211852574,1,0
embryo1_Pos0_cell235_z2,10,3,Endothelium,Low-quality,1.234580155,-2.990300671,1,0
embryo1_Pos0_cell235_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.387457039,-3.17318373,1,0
embryo1_Pos0_cell236_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.391589781,-3.403505303,1,0
embryo1_Pos0_cell237_z5,8,16,Lateral-plate-mesoderm,Haematoendothelial-progenitors,1.370688279,-3.310325172,1,0
embryo1_Pos0_cell238_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.360760129,-3.279772375,1,0
embryo1_Pos0_cell239_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.386865248,-3.247973459,1,0
embryo1_Pos0_cell241_z2,19,10,Gut-tube,Endothelium,1.251684325,-3.333789443,1,0
embryo1_Pos0_cell241_z5,8,21,Lateral-plate-mesoderm,Mixed-mesenchymal-mesoderm,1.37086148,-3.099973758,1,0
embryo1_Pos0_cell242_z2,11,10,Erythroid,Endothelium,1.254104357,-2.639993995,1,0
embryo1_Pos0_cell242_z5,10,19,Endothelium,Gut-tube,1.378065354,-2.624238491,1,0
embryo1_Pos0_cell243_z5,10,19,Endothelium,Gut-tube,1.37116454,-2.510217572,1,0
embryo1_Pos0_cell244_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.384424901,-3.130604229,1,0
embryo1_Pos0_cell245_z5,19,19,Gut-tube,Gut-tube,1.388786567,-2.559410529,1,0
embryo1_Pos0_cell246_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.391138596,-3.280922552,1,0
embryo1_Pos0_cell247_z5,19,10,Gut-tube,Endothelium,1.389860654,-2.533112651,1,0
embryo1_Pos0_cell248_z5,8,16,Lateral-plate-mesoderm,Haematoendothelial-progenitors,1.406394143,-3.348408299,1,0
embryo1_Pos0_cell249_z5,19,10,Gut-tube,Endothelium,1.405216389,-2.595615975,1,0
embryo1_Pos0_cell250_z5,10,19,Endothelium,Gut-tube,1.398108549,-2.509772375,1,0
embryo1_Pos0_cell251_z5,8,21,Lateral-plate-mesoderm,Mixed-mesenchymal-mesoderm,1.399586605,-3.094419123,1,0
embryo1_Pos0_cell252_z2,8,10,Lateral-plate-mesoderm,Endothelium,1.298947191,-3.260915856,1,0
embryo1_Pos0_cell253_z2,10,11,Endothelium,Erythroid,1.281021099,-2.9124787,1,0
embryo1_Pos0_cell253_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.403627447,-3.215328523,1,0
embryo1_Pos0_cell254_z5,16,19,Haematoendothelial-progenitors,Gut-tube,1.424754381,-2.641698672,1,0
embryo1_Pos0_cell256_z2,19,10,Gut-tube,Endothelium,1.280884209,-2.826553121,1,0
embryo1_Pos0_cell256_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.413851896,-3.295908831,1,0
embryo1_Pos0_cell257_z5,16,19,Haematoendothelial-progenitors,Gut-tube,1.418874196,-2.691482159,1,0
embryo1_Pos0_cell258_z5,19,19,Gut-tube,Gut-tube,1.42414251,-2.535799563,1,0
embryo1_Pos0_cell259_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.437050345,-3.130926902,1,0
embryo1_Pos0_cell26_z2,11,3,Erythroid,Low-quality,0.754956408,-3.216304729,1,0
embryo1_Pos0_cell26_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,0.751880334,-2.754960609,1,0
embryo1_Pos0_cell260_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.439490784,-3.238540824,1,0
embryo1_Pos0_cell261_z5,8,21,Lateral-plate-mesoderm,Mixed-mesenchymal-mesoderm,1.428531283,-3.083651865,1,0
embryo1_Pos0_cell262_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.443390126,-3.179614749,1,0
embryo1_Pos0_cell264_z5,19,3,Gut-tube,Low-quality,1.436185333,-2.576325109,1,0
embryo1_Pos0_cell265_z5,19,19,Gut-tube,Gut-tube,1.445284145,-2.509955028,1,0
embryo1_Pos0_cell266_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.458449661,-3.299671304,1,0
embryo1_Pos0_cell267_z2,8,16,Lateral-plate-mesoderm,Haematoendothelial-progenitors,1.322460717,-3.39567402,1,0
embryo1_Pos0_cell267_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.463700736,-3.350328173,1,0
embryo1_Pos0_cell268_z2,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.331878949,-3.193700148,1,0
embryo1_Pos0_cell268_z5,8,16,Lateral-plate-mesoderm,Haematoendothelial-progenitors,1.443916957,-2.971671367,1,0
embryo1_Pos0_cell269_z5,10,19,Endothelium,Gut-tube,1.45818849,-2.692185061,1,0
embryo1_Pos0_cell27_z2,8,20,Lateral-plate-mesoderm,Intermediate-mesoderm,0.7617459,-2.718720547,1,0
embryo1_Pos0_cell270_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.456157856,-3.103533916,1,0
embryo1_Pos0_cell271_z5,8,21,Lateral-plate-mesoderm,Mixed-mesenchymal-mesoderm,1.4551598,-3.068458408,1,0
embryo1_Pos0_cell272_z2,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.321973236,-3.228430144,1,0
embryo1_Pos0_cell273_z2,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.335168855,-3.140586445,1,0
embryo1_Pos0_cell273_z5,19,19,Gut-tube,Gut-tube,1.463972848,-2.549844846,1,0
embryo1_Pos0_cell276_z2,19,10,Gut-tube,Endothelium,1.324978879,-2.670349477,1,0
embryo1_Pos0_cell277_z2,19,10,Gut-tube,Endothelium,1.333785697,-2.811888472,1,0
embryo1_Pos0_cell277_z5,10,19,Endothelium,Gut-tube,1.482346319,-2.645850698,1,0
embryo1_Pos0_cell278_z2,8,16,Lateral-plate-mesoderm,Haematoendothelial-progenitors,1.344487235,-3.311929934,1,0
embryo1_Pos0_cell278_z5,19,19,Gut-tube,Gut-tube,1.481789601,-2.533683732,1,0
embryo1_Pos0_cell279_z2,19,10,Gut-tube,Endothelium,1.331065849,-2.70997374,1,0
embryo1_Pos0_cell28_z2,8,20,Lateral-plate-mesoderm,Intermediate-mesoderm,0.784874273,-2.667459544,1,0
embryo1_Pos0_cell282_z2,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.349518291,-3.276727395,1,0
embryo1_Pos0_cell282_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.492458825,-3.238983866,1,0
embryo1_Pos0_cell283_z2,19,10,Gut-tube,Endothelium,1.341679303,-2.788704546,1,0
embryo1_Pos0_cell283_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.487813796,-3.163053256,1,0
embryo1_Pos0_cell284_z2,19,10,Gut-tube,Endothelium,1.35184144,-2.641255059,1,0
embryo1_Pos0_cell284_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.484314816,-3.046627844,1,0
embryo1_Pos0_cell285_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.491059928,-3.111475586,1,0
embryo1_Pos0_cell288_z5,10,19,Endothelium,Gut-tube,1.504491781,-2.51349367,1,0
embryo1_Pos0_cell289_z2,19,10,Gut-tube,Endothelium,1.355873688,-2.609112299,1,0
embryo1_Pos0_cell29_z2,11,3,Erythroid,Low-quality,0.757386119,-3.182793499,1,0
embryo1_Pos0_cell29_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,0.765691414,-2.785832506,1,0
embryo1_Pos0_cell290_z2,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.351541379,-3.243099324,1,0
embryo1_Pos0_cell291_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.511385129,-3.29617537,1,0
embryo1_Pos0_cell292_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.524908766,-3.087099849,1,0
embryo1_Pos0_cell293_z2,19,16,Gut-tube,Haematoendothelial-progenitors,1.36391743,-2.670661047,1,0
embryo1_Pos0_cell293_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.524649931,-3.165289953,1,0
embryo1_Pos0_cell294_z2,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.361545675,-3.384396965,1,0
embryo1_Pos0_cell294_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.528064967,-3.015417832,1,0
embryo1_Pos0_cell295_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.538586772,-2.957238845,1,0
embryo1_Pos0_cell296_z2,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.374482901,-3.124016933,1,0
embryo1_Pos0_cell296_z5,8,16,Lateral-plate-mesoderm,Haematoendothelial-progenitors,1.517940548,-2.840662581,1,0
embryo1_Pos0_cell297_z2,19,16,Gut-tube,Haematoendothelial-progenitors,1.360288787,-2.696195148,1,0
embryo1_Pos0_cell297_z5,10,19,Endothelium,Gut-tube,1.547147811,-2.58703967,1,0
embryo1_Pos0_cell298_z2,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.395855327,-3.422511988,1,0
embryo1_Pos0_cell299_z2,19,19,Gut-tube,Gut-tube,1.366604521,-2.800737834,1,0
embryo1_Pos0_cell299_z5,10,19,Endothelium,Gut-tube,1.542309352,-2.534510363,1,0
embryo1_Pos0_cell3_z2,3,11,Low-quality,Erythroid,0.712036058,-3.286467889,1,0
embryo1_Pos0_cell30_z5,11,11,Erythroid,Erythroid,0.761846722,-3.213860892,1,0
embryo1_Pos0_cell300_z2,19,3,Gut-tube,Low-quality,1.374460703,-2.76158955,1,0
embryo1_Pos0_cell300_z5,8,16,Lateral-plate-mesoderm,Haematoendothelial-progenitors,1.532369879,-2.810007455,1,0
embryo1_Pos0_cell301_z2,19,10,Gut-tube,Endothelium,1.384847779,-2.523412736,1,0
embryo1_Pos0_cell302_z2,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.386793805,-3.201186023,1,0
embryo1_Pos0_cell302_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.538910266,-2.885830318,1,0
embryo1_Pos0_cell303_z2,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.388179572,-3.289091099,1,0
embryo1_Pos0_cell303_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.548308184,-3.145727088,1,0
embryo1_Pos0_cell304_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.538215739,-2.922445493,1,0
embryo1_Pos0_cell305_z2,19,19,Gut-tube,Gut-tube,1.383124088,-2.561264482,1,0
embryo1_Pos0_cell305_z5,8,21,Lateral-plate-mesoderm,Mixed-mesenchymal-mesoderm,1.538296372,-2.730926027,1,0
embryo1_Pos0_cell307_z2,19,10,Gut-tube,Endothelium,1.383119176,-2.587106906,1,0
embryo1_Pos0_cell307_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.557946228,-2.853153732,1,0
embryo1_Pos0_cell308_z2,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.394427295,-3.250019829,1,0
embryo1_Pos0_cell308_z5,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.56609298,-3.063201422,1,0
embryo1_Pos0_cell31_z5,11,11,Erythroid,Erythroid,0.764451058,-3.189835018,1,0
embryo1_Pos0_cell310_z2,19,16,Gut-tube,Haematoendothelial-progenitors,1.390618293,-2.697525524,1,0
embryo1_Pos0_cell311_z2,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,1.42046898,-3.343340419,1,0
