barcode,zscore
embryo1_Pos8_cell71_z2,-0.544328652
embryo1_Pos8_cell72_z5,-0.544328652
embryo1_Pos8_cell74_z5,-0.544328652
embryo1_Pos8_cell75_z2,1.208783507
embryo1_Pos8_cell75_z5,-0.544328652
embryo1_Pos8_cell76_z2,-0.544328652
embryo1_Pos8_cell76_z5,-0.544328652
embryo1_Pos8_cell80_z2,-0.544328652
embryo1_Pos8_cell81_z2,-0.544328652
embryo1_Pos8_cell85_z2,-0.544328652
embryo1_Pos8_cell86_z2,1.193421879
embryo1_Pos9_cell103_z5,1.495710267
embryo1_Pos9_cell108_z5,-0.544328652
embryo1_Pos9_cell112_z5,1.769045699
embryo1_Pos9_cell116_z5,2.091609843
embryo1_Pos9_cell118_z2,-0.544328652
embryo1_Pos9_cell120_z5,-0.544328652
embryo1_Pos9_cell121_z5,1.151518468
embryo1_Pos9_cell141_z5,-0.544328652
embryo1_Pos9_cell144_z2,1.175626595
embryo1_Pos9_cell145_z2,-0.544328652
embryo1_Pos9_cell152_z5,-0.544328652
embryo1_Pos9_cell153_z5,1.556240409
embryo1_Pos9_cell159_z5,1.664042945
embryo1_Pos9_cell162_z2,-0.544328652
embryo1_Pos9_cell163_z2,1.031560722
embryo1_Pos9_cell168_z2,-0.544328652
embryo1_Pos9_cell177_z2,-0.544328652
embryo1_Pos9_cell179_z2,-0.544328652
embryo1_Pos9_cell187_z2,-0.544328652
embryo1_Pos9_cell193_z2,-0.544328652
embryo1_Pos9_cell196_z2,-0.544328652
embryo1_Pos9_cell203_z2,1.317093975
embryo1_Pos9_cell207_z2,-0.544328652
embryo1_Pos9_cell212_z5,1.662036305
embryo1_Pos9_cell215_z2,-0.544328652
embryo1_Pos9_cell218_z2,-0.544328652
embryo1_Pos9_cell224_z5,-0.544328652
embryo1_Pos9_cell226_z2,-0.544328652
embryo1_Pos9_cell237_z5,-0.544328652
embryo1_Pos9_cell248_z2,-0.544328652
embryo1_Pos9_cell249_z2,1.218246638
embryo1_Pos9_cell249_z5,-0.544328652
embryo1_Pos9_cell254_z5,-0.544328652
embryo1_Pos9_cell26_z5,1.958080798
embryo1_Pos9_cell261_z5,-0.544328652
embryo1_Pos9_cell263_z5,1.943665534
embryo1_Pos9_cell266_z5,1.984366162
embryo1_Pos9_cell273_z2,-0.544328652
embryo1_Pos9_cell274_z5,-0.544328652
embryo1_Pos9_cell278_z2,-0.544328652
embryo1_Pos9_cell287_z5,1.444467653
embryo1_Pos9_cell298_z5,-0.544328652
embryo1_Pos9_cell301_z2,-0.544328652
embryo1_Pos9_cell302_z5,-0.544328652
embryo1_Pos9_cell306_z5,-0.544328652
embryo1_Pos9_cell312_z2,-0.544328652
embryo1_Pos9_cell318_z5,1.441915677
embryo1_Pos9_cell323_z5,-0.544328652
embryo1_Pos9_cell327_z2,-0.544328652
embryo1_Pos9_cell334_z2,-0.544328652
embryo1_Pos9_cell335_z2,-0.544328652
embryo1_Pos9_cell337_z5,1.600060781
embryo1_Pos9_cell354_z2,1.343307585
embryo1_Pos9_cell359_z5,-0.544328652
embryo1_Pos9_cell363_z5,1.42688092
embryo1_Pos9_cell367_z5,1.207224661
embryo1_Pos9_cell37_z5,-0.544328652
embryo1_Pos9_cell373_z5,1.497135019
embryo1_Pos9_cell379_z5,1.779113501
embryo1_Pos9_cell382_z2,-0.544328652
embryo1_Pos9_cell382_z5,1.460069978
embryo1_Pos9_cell383_z5,-0.544328652
embryo1_Pos9_cell386_z2,-0.544328652
embryo1_Pos9_cell386_z5,-0.544328652
embryo1_Pos9_cell387_z5,1.223050408
embryo1_Pos9_cell394_z5,1.883549438
embryo1_Pos9_cell396_z5,1.143297676
embryo1_Pos9_cell397_z5,1.384405035
embryo1_Pos9_cell398_z2,2.004035695
embryo1_Pos9_cell399_z5,1.562730507
embryo1_Pos9_cell402_z2,-0.544328652
embryo1_Pos9_cell406_z2,-0.544328652
embryo1_Pos9_cell406_z5,-0.544328652
embryo1_Pos9_cell408_z5,2.054701678
embryo1_Pos9_cell41_z5,1.766560318
embryo1_Pos9_cell410_z2,-0.544328652
embryo1_Pos9_cell412_z5,-0.544328652
embryo1_Pos9_cell413_z2,-0.544328652
embryo1_Pos9_cell415_z5,-0.544328652
embryo1_Pos9_cell417_z2,1.096800198
embryo1_Pos9_cell422_z2,-0.544328652
embryo1_Pos9_cell423_z2,-0.544328652
embryo1_Pos9_cell426_z2,-0.544328652
embryo1_Pos9_cell433_z2,-0.544328652
embryo1_Pos9_cell436_z2,-0.544328652
embryo1_Pos9_cell437_z2,-0.544328652
embryo1_Pos9_cell438_z2,-0.544328652
embryo1_Pos9_cell441_z2,-0.544328652
embryo1_Pos9_cell445_z2,-0.544328652
embryo1_Pos9_cell447_z2,-0.544328652
embryo1_Pos9_cell449_z2,-0.544328652
embryo1_Pos9_cell452_z2,-0.544328652
embryo1_Pos9_cell454_z2,-0.544328652
embryo1_Pos9_cell455_z2,-0.544328652
embryo1_Pos9_cell50_z5,2.023127697
embryo1_Pos9_cell53_z2,-0.544328652
embryo1_Pos9_cell64_z5,1.634776538
embryo1_Pos9_cell77_z2,-0.544328652
embryo1_Pos9_cell78_z5,-0.544328652
embryo1_Pos9_cell80_z5,-0.544328652
embryo1_Pos9_cell85_z5,-0.544328652
embryo1_Pos9_cell93_z5,2.054701678
embryo1_Pos9_cell97_z2,-0.544328652
embryo1_Pos9_cell98_z5,-0.544328652
embryo1_Pos10_cell100_z5,-0.544328652
embryo1_Pos10_cell102_z5,-0.544328652
embryo1_Pos10_cell105_z2,-0.544328652
embryo1_Pos10_cell106_z5,-0.544328652
embryo1_Pos10_cell107_z2,-0.544328652
embryo1_Pos10_cell107_z5,1.260723825
embryo1_Pos10_cell108_z2,-0.544328652
embryo1_Pos10_cell114_z2,1.329014045
embryo1_Pos10_cell116_z2,1.928673838
embryo1_Pos10_cell119_z5,1.704549143
embryo1_Pos10_cell12_z5,1.273977967
embryo1_Pos10_cell120_z2,-0.544328652
embryo1_Pos10_cell120_z5,0.981083261
embryo1_Pos10_cell122_z5,-0.544328652
embryo1_Pos10_cell123_z2,-0.544328652
embryo1_Pos10_cell125_z2,-0.544328652
embryo1_Pos10_cell130_z2,1.562730507
embryo1_Pos10_cell131_z2,1.154291212
embryo1_Pos10_cell131_z5,-0.544328652
embryo1_Pos10_cell133_z2,1.111789339
embryo1_Pos10_cell134_z2,-0.544328652
embryo1_Pos10_cell135_z2,-0.544328652
embryo1_Pos10_cell135_z5,-0.544328652
embryo1_Pos10_cell138_z2,1.531114966
embryo1_Pos10_cell138_z5,-0.544328652
embryo1_Pos10_cell139_z2,1.190408838
embryo1_Pos10_cell139_z5,-0.544328652
embryo1_Pos10_cell14_z5,1.579344439
embryo1_Pos10_cell140_z5,-0.544328652
embryo1_Pos10_cell143_z2,1.899526903
embryo1_Pos10_cell144_z2,1.827161913
embryo1_Pos10_cell144_z5,1.491461496
embryo1_Pos10_cell145_z2,-0.544328652
embryo1_Pos10_cell145_z5,-0.544328652
embryo1_Pos10_cell146_z5,-0.544328652
embryo1_Pos10_cell148_z5,-0.544328652
embryo1_Pos10_cell149_z5,-0.544328652
embryo1_Pos10_cell153_z5,-0.544328652
embryo1_Pos10_cell154_z5,-0.544328652
embryo1_Pos10_cell155_z5,1.72842088
embryo1_Pos10_cell156_z2,-0.544328652
embryo1_Pos10_cell159_z2,-0.544328652
embryo1_Pos10_cell159_z5,-0.544328652
embryo1_Pos10_cell160_z5,-0.544328652
embryo1_Pos10_cell161_z2,-0.544328652
embryo1_Pos10_cell161_z5,-0.544328652
embryo1_Pos10_cell162_z5,-0.544328652
embryo1_Pos10_cell163_z2,1.0858675
embryo1_Pos10_cell165_z5,1.474829388
embryo1_Pos10_cell166_z5,-0.544328652
embryo1_Pos10_cell167_z5,-0.544328652
embryo1_Pos10_cell168_z5,-0.544328652
embryo1_Pos10_cell17_z2,-0.544328652
embryo1_Pos10_cell17_z5,1.135218889
embryo1_Pos10_cell173_z5,-0.544328652
embryo1_Pos10_cell174_z5,-0.544328652
embryo1_Pos10_cell176_z5,-0.544328652
embryo1_Pos10_cell177_z2,-0.544328652
embryo1_Pos10_cell177_z5,-0.544328652
embryo1_Pos10_cell178_z2,1.317093975
embryo1_Pos10_cell178_z5,-0.544328652
embryo1_Pos10_cell179_z2,1.072846343
embryo1_Pos10_cell182_z5,-0.544328652
embryo1_Pos10_cell183_z2,-0.544328652
embryo1_Pos10_cell184_z2,-0.544328652
embryo1_Pos10_cell184_z5,-0.544328652
embryo1_Pos10_cell185_z2,1.835646986
embryo1_Pos10_cell187_z2,-0.544328652
embryo1_Pos10_cell189_z2,-0.544328652
embryo1_Pos10_cell189_z5,-0.544328652
embryo1_Pos10_cell19_z2,-0.544328652
embryo1_Pos10_cell19_z5,-0.544328652
embryo1_Pos10_cell191_z2,-0.544328652
embryo1_Pos10_cell191_z5,-0.544328652
embryo1_Pos10_cell192_z2,1.237761749
embryo1_Pos10_cell193_z2,-0.544328652
embryo1_Pos10_cell194_z2,-0.544328652
embryo1_Pos10_cell195_z5,-0.544328652
embryo1_Pos10_cell196_z5,-0.544328652
embryo1_Pos10_cell197_z2,1.165549129
embryo1_Pos10_cell197_z5,-0.544328652
embryo1_Pos10_cell198_z2,1.525031503
embryo1_Pos10_cell199_z5,-0.544328652
embryo1_Pos10_cell200_z2,-0.544328652
embryo1_Pos10_cell201_z5,-0.544328652
