barcode,zscore
embryo1_Pos6_cell302_z2,-0.544328652
embryo1_Pos6_cell302_z5,-0.544328652
embryo1_Pos6_cell303_z2,1.405174052
embryo1_Pos6_cell303_z5,-0.544328652
embryo1_Pos6_cell304_z5,2.00203316
embryo1_Pos6_cell305_z5,-0.544328652
embryo1_Pos6_cell307_z5,1.871129948
embryo1_Pos6_cell308_z5,-0.544328652
embryo1_Pos6_cell310_z5,1.377677093
embryo1_Pos6_cell312_z5,1.22466253
embryo1_Pos6_cell313_z5,-0.544328652
embryo1_Pos6_cell314_z2,-0.544328652
embryo1_Pos6_cell314_z5,-0.544328652
embryo1_Pos6_cell315_z2,-0.544328652
embryo1_Pos6_cell315_z5,-0.544328652
embryo1_Pos6_cell317_z5,-0.544328652
embryo1_Pos6_cell318_z5,-0.544328652
embryo1_Pos6_cell319_z5,-0.544328652
embryo1_Pos6_cell320_z5,-0.544328652
embryo1_Pos6_cell321_z5,-0.544328652
embryo1_Pos6_cell323_z2,-0.544328652
embryo1_Pos6_cell324_z2,1.513089351
embryo1_Pos6_cell324_z5,-0.544328652
embryo1_Pos6_cell325_z2,-0.544328652
embryo1_Pos6_cell325_z5,-0.544328652
embryo1_Pos6_cell327_z2,-0.544328652
embryo1_Pos6_cell328_z2,-0.544328652
embryo1_Pos6_cell328_z5,-0.544328652
embryo1_Pos6_cell329_z2,-0.544328652
embryo1_Pos6_cell330_z2,-0.544328652
embryo1_Pos6_cell331_z2,-0.544328652
embryo1_Pos6_cell331_z5,-0.544328652
embryo1_Pos6_cell332_z2,1.362336095
embryo1_Pos6_cell333_z2,-0.544328652
embryo1_Pos6_cell333_z5,-0.544328652
embryo1_Pos6_cell334_z5,-0.544328652
embryo1_Pos6_cell335_z2,-0.544328652
embryo1_Pos6_cell336_z2,-0.544328652
embryo1_Pos6_cell338_z2,-0.544328652
embryo1_Pos6_cell339_z2,-0.544328652
embryo1_Pos6_cell340_z2,-0.544328652
embryo1_Pos6_cell340_z5,1.543515078
embryo1_Pos6_cell341_z5,-0.544328652
embryo1_Pos6_cell342_z2,-0.544328652
embryo1_Pos6_cell342_z5,-0.544328652
embryo1_Pos6_cell343_z5,-0.544328652
embryo1_Pos6_cell345_z2,-0.544328652
embryo1_Pos6_cell345_z5,-0.544328652
embryo1_Pos6_cell346_z2,-0.544328652
embryo1_Pos6_cell347_z2,-0.544328652
embryo1_Pos6_cell348_z2,-0.544328652
embryo1_Pos6_cell348_z5,1.465385034
embryo1_Pos6_cell349_z2,1.247829902
embryo1_Pos6_cell350_z2,-0.544328652
embryo1_Pos6_cell351_z5,-0.544328652
embryo1_Pos6_cell352_z2,-0.544328652
embryo1_Pos6_cell354_z5,-0.544328652
embryo1_Pos6_cell355_z2,1.244450033
embryo1_Pos6_cell356_z2,-0.544328652
embryo1_Pos6_cell357_z2,1.273977967
embryo1_Pos6_cell357_z5,-0.544328652
embryo1_Pos6_cell359_z2,1.288535938
